what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1355495202022
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1355495202022
started,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1355495202024
started,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1355495202025
started,bundle,org.jboss.tools.common,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common",1355495202025
started,bundle,org.jboss.tools.common.model,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.model",1355495202028
started,bundle,org.zeroturnaround.eclipse,5.0.1.RELEASE-201207191833,"org.zeroturnaround.eclipse",1355495202029
started,bundle,org.zeroturnaround.eclipse.config,5.0.0.RELEASE-201207191833,"org.zeroturnaround.eclipse.config",1355495202029
os,sysinfo,,,"win32",1355495202033
arch,sysinfo,,,"x86_64",1355495202033
ws,sysinfo,,,"win32",1355495202033
locale,sysinfo,,,"en_US",1355495202033
processors,sysinfo,,,"4",1355495202033
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1355495202033
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1355495202033
java.specification.name,sysinfo,,,"Java Platform API Specification",1355495202033
java.specification.vendor,sysinfo,,,"Oracle Corporation",1355495202033
java.specification.version,sysinfo,,,"1.7",1355495202033
java.vendor,sysinfo,,,"Oracle Corporation",1355495202033
java.version,sysinfo,,,"1.7.0_03",1355495202033
java.vm.info,sysinfo,,,"mixed mode",1355495202033
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1355495202033
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355495202033
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1355495202033
java.vm.specification.version,sysinfo,,,"1.7",1355495202033
java.vm.vendor,sysinfo,,,"Oracle Corporation",1355495202033
java.vm.version,sysinfo,,,"22.1-b02",1355495202033
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1355495202076
started,bundle,org.hibernate.eclipse.jdt.ui,3.5.1.v20120715-0252-H98-Final,"org.hibernate.eclipse.jdt.ui",1355495202155
started,bundle,org.zeroturnaround.eclipse.wtp,5.0.0.RELEASE-201207191833,"org.zeroturnaround.eclipse.wtp",1355495203055
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1355495203085
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1355495203110
started,bundle,org.zeroturnaround.eclipse.debug,5.0.0.RELEASE-201207191833,"org.zeroturnaround.eclipse.debug",1355495203150
started,bundle,org.hibernate.eclipse.libs,3.5.1.v20120715-0252-H98-Final,"org.hibernate.eclipse.libs",1355495203171
started,bundle,org.hibernate.eclipse,3.5.1.v20120715-0252-H98-Final,"org.hibernate.eclipse",1355495203343
started,bundle,org.hibernate.eclipse.console,3.5.1.v20120715-0252-H98-Final,"org.hibernate.eclipse.console",1355495203485
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1355495203506
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1355495203551
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1355495203553
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1355495203753
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1355495206992
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1355495207051
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1355495207179
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1355495207188
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1355495207261
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1355495207262
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1355495207337
started,bundle,org.jboss.tools.common.model.ui,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.model.ui",1355495207369
